date,venue,race_no,race_id,candidate_rank,buy,trifecta_prob_approx,trifecta_odds,stake_yen,trifecta_return_yen,trifecta_profit_yen,loss_amount_yen,expected_profit_yen
2026-06-30,伊東,1,013720260630,1,1-2-3,0.027240116291332446,6.3,100,630,530,100,-83
2026-06-30,伊東,1,013720260630,2,1-2-4,0.027240116291332446,13.3,100,1330,1230,100,-64
2026-06-30,伊東,1,013720260630,3,1-3-2,0.027240116291332446,16.1,100,1610,1510,100,-56
2026-06-30,伊東,1,013720260630,4,1-3-4,0.027240116291332446,25.2,100,2520,2420,100,-31
2026-06-30,伊東,1,013720260630,5,1-4-2,0.027240116291332446,20.7,100,2070,1970,100,-44
2026-06-30,伊東,1,013720260630,6,1-4-3,0.027240116291332446,22.8,100,2280,2180,100,-38
2026-06-30,伊東,1,013720260630,7,2-1-3,0.027240116291332446,10.0,100,1000,900,100,-73
2026-06-30,伊東,1,013720260630,8,2-1-4,0.027240116291332446,16.1,100,1610,1510,100,-56
2026-06-30,伊東,2,023720260630,1,1-2-3,0.014542481784806823,29.8,100,2980,2880,100,-57
2026-06-30,伊東,2,023720260630,2,1-2-4,0.014542481784806823,27.2,100,2720,2620,100,-60
2026-06-30,伊東,2,023720260630,3,1-2-5,0.014542481784806823,61.5,100,6150,6050,100,-11
2026-06-30,伊東,2,023720260630,4,1-3-2,0.014542481784806823,49.0,100,4900,4800,100,-29
2026-06-30,伊東,2,023720260630,5,1-3-4,0.014542481784806823,85.1,100,8510,8410,100,24
2026-06-30,伊東,2,023720260630,6,1-3-5,0.014542481784806823,76.1,100,7610,7510,100,11
2026-06-30,伊東,2,023720260630,7,1-4-2,0.014542481784806823,76.1,100,7610,7510,100,11
2026-06-30,伊東,2,023720260630,8,1-4-3,0.014542481784806823,96.4,100,9640,9540,100,40
2026-06-30,伊東,3,033720260630,1,4-5-1,0.01756928733646834,185.7,100,18570,18470,100,226
2026-06-30,伊東,3,033720260630,2,4-5-2,0.01756928733646834,131.1,100,13110,13010,100,130
2026-06-30,伊東,3,033720260630,3,4-5-3,0.01756928733646834,557.2,100,55720,55620,100,879
2026-06-30,伊東,3,033720260630,4,4-5-6,0.01747918842705055,318.4,100,31840,31740,100,457
2026-06-30,伊東,3,033720260630,5,4-1-5,0.016917241262567637,185.7,100,18570,18470,100,214
2026-06-30,伊東,3,033720260630,6,4-2-5,0.016917241262567637,131.1,100,13110,13010,100,122
2026-06-30,伊東,3,033720260630,7,4-3-5,0.016917241262567637,743.0,100,74300,74200,100,1157
2026-06-30,伊東,3,033720260630,8,4-6-5,0.016809708504090477,278.6,100,27860,27760,100,368
2026-06-30,伊東,4,043720260630,1,1-5-6,0.014373870069187706,143.4,100,14340,14240,100,106
2026-06-30,伊東,4,043720260630,2,1-6-5,0.014373870069187706,315.6,100,31560,31460,100,354
2026-06-30,伊東,4,043720260630,3,5-1-6,0.014373870069187706,526.0,100,52600,52500,100,656
2026-06-30,伊東,4,043720260630,4,5-6-1,0.014373870069187706,789.0,100,78900,78800,100,1034
2026-06-30,伊東,4,043720260630,5,6-1-5,0.014373870069187706,9999.9,100,999990,999890,100,14274
2026-06-30,伊東,4,043720260630,6,6-5-1,0.014373870069187706,1578.0,100,157800,157700,100,2168
2026-06-30,伊東,4,043720260630,7,1-5-3,0.013197826154435984,143.4,100,14340,14240,100,89
2026-06-30,伊東,4,043720260630,8,1-6-3,0.013197826154435984,92.8,100,9280,9180,100,22
2026-06-30,伊東,5,053720260630,1,1-4-7,0.021307462042056392,50.8,100,5080,4980,100,8
2026-06-30,伊東,5,053720260630,2,1-7-4,0.021307462042056392,44.5,100,4450,4350,100,-5
2026-06-30,伊東,5,053720260630,3,4-1-7,0.021307462042056392,178.1,100,17810,17710,100,279
2026-06-30,伊東,5,053720260630,4,4-7-1,0.021307462042056392,2137.5,100,213750,213650,100,4454
2026-06-30,伊東,5,053720260630,5,7-1-4,0.021307462042056392,112.5,100,11250,11150,100,140
2026-06-30,伊東,5,053720260630,6,7-4-1,0.021307462042056392,9999.9,100,999990,999890,100,21207
2026-06-30,伊東,5,053720260630,7,1-4-2,0.009076140110697873,41.9,100,4190,4090,100,-62
2026-06-30,伊東,5,053720260630,8,1-4-3,0.009076140110697873,38.8,100,3880,3780,100,-65
