date,venue,race_no,race_id,bet_type,bet_label,candidate_rank,buy,prob,odds_used,expected_profit_100yen,is_selected,stake_yen,return_if_hit_yen,profit_if_hit_yen,loss_amount_yen,expected_profit_yen
2026-07-08,久留米,2,028320260708,exacta,2車単,5,1-4,0.08096686037869029,163.1,1221,True,500,81550.0,81050.0,500,6105.0
2026-07-08,久留米,2,028320260708,exacta,2車単,2,4-1,0.11017593254659619,108.7,1098,True,400,43480.0,43080.0,400,4392.0
2026-07-08,久留米,11,118320260708,quinella,2車複,1,1-2,0.3935164120655816,40.9,1509,True,500,20450.0,19950.0,500,7545.0
2026-07-08,久留米,11,118320260708,quinella,2車複,3,1-4,0.0926607144781672,143.2,1227,True,500,71600.0,71100.0,500,6135.0
2026-07-08,弥彦,1,012120260708,quinella_place,ワイド,2,1-2,0.5139514999673327,12.7,553,True,200,2540.0,2340.0,200,1106.0
2026-07-08,弥彦,1,012120260708,trifecta,3連単,1,1-3-2,0.12658155009885383,140.1,1673,True,500,70050.0,69550.0,500,8365.0
2026-07-08,弥彦,2,022120260708,trio,3連複,2,1-2-4,0.2171745178044185,84.7,1739,True,500,42350.0,41850.0,500,8695.0
2026-07-08,弥彦,3,032120260708,exacta,2車単,3,4-1,0.14736888283816768,72.7,971,True,400,29080.0,28680.0,400,3884.0
2026-07-08,弥彦,3,032120260708,trifecta,3連単,2,1-5-4,0.10159528422181073,105.1,968,True,400,42040.0,41640.0,400,3872.0
2026-07-08,弥彦,4,042120260708,trifecta,3連単,2,4-1-2,0.12414354713528705,86.5,974,True,400,34600.0,34200.0,400,3896.0
2026-07-08,弥彦,5,052120260708,trio,3連複,1,1-3-4,0.23210793713570327,40.5,840,True,300,12150.0,11850.0,300,2520.0
2026-07-08,弥彦,9,092120260708,quinella,2車複,1,1-2,0.42883960502415674,34.5,1379,True,500,17250.0,16750.0,500,6895.0
2026-07-08,玉野,5,056120260708,exacta,2車単,2,1-6,0.22902585818479287,46.1,956,True,400,18440.0,18040.0,400,3824.0
2026-07-08,玉野,7,076120260708,trio,3連複,1,1-2-3,0.18570110744096968,76.5,1321,True,500,38250.0,37750.0,500,6605.0
