logged_at_jst,kind,target_date,history_rows,history_races,auc_binary,brier_score_binary,race_logloss,top1_bets,top1_hits,top1_hit_rate,settlement_bets,settlement_hits,stake_yen,return_yen,profit_yen,roi,note
2026-06-30T22:15:02+09:00,train,2026-06-30,2115.0,299.0,0.7222842261904762,0.1231858995220632,1.7200788918933267,36.0,12.0,0.3333333333333333,,,,,,,WINTICKET history training metrics
2026-06-30T22:15:02+09:00,settle,2026-06-29,,,,,,,,,431.0,1.0,43100.0,3120.0,-39980.0,-0.9276102088167052,AI purchase settlement
2026-06-30T22:18:23+09:00,train,2026-06-30,2115.0,299.0,0.6956225198412699,0.1171203088712775,1.7162306567248258,36.0,15.0,0.4166666666666667,,,,,,,WINTICKET history training metrics
2026-06-30T22:19:00+09:00,walk_forward,2026-06-30,,206.0,0.680860326883738,,2.003680900396498,206.0,60.0,0.2912621359223301,,,,,,,hide-result then predict then reveal walk-forward test
2026-06-30T23:12:50+09:00,profit_backtest,2026-06-30,,4981.0,,,,,,,76.0,3.0,38000.0,169950.0,131950.0,3.472368421052632,walk-forward trifecta profit backtest with variable stake
2026-06-30T23:13:11+09:00,train,2026-06-30,34930.0,4981.0,0.7698988281405523,0.1048827504243306,1.5923408911161223,750.0,327.0,0.436,,,,,,,WINTICKET history training metrics
2026-06-30T23:17:33+09:00,settle,2026-06-30,,,,,,,,,1.0,0.0,500.0,0.0,-500.0,-1.0,AI purchase settlement
2026-07-01T06:15:21+09:00,settle,2026-06-30,,,,,,,,,1.0,0.0,500.0,0.0,-500.0,-1.0,AI purchase settlement
2026-07-01T08:17:08+09:00,multi_bet_backtest,2026-06-30,,9970.0,,,,,,,54521.0,1074.0,8879000.0,9454780.0,575780.0,0.0648473927244059,best broad bet type: trio profit_yen=576760
2026-07-01T08:17:37+09:00,train,2026-06-30,69833.0,9970.0,0.7729103315261602,0.1049029802101045,1.528678091159061,1514.0,622.0,0.4108322324966975,,,,,,,WINTICKET history training metrics
2026-07-01T19:22:44+09:00,train,2026-07-01,69902.0,9971.0,0.7759166735732581,0.1044328649179516,1.550268567824171,1514.0,634.0,0.4187582562747688,,,,,,,WINTICKET history training metrics
2026-07-01T19:22:48+09:00,multi_bet_backtest,2026-07-01,,9971.0,,,,,,,54051.0,1085.0,8719700.0,10082770.0,1363070.0,0.1563207449797584,"best broad bet type: 3連単, profit_yen=757820"
2026-07-01T20:38:25+09:00,settle,2026-07-01,,,,,,,,,16.0,0.0,5500.0,0.0,-5500.0,-1.0,AI purchase settlement
2026-07-02T19:29:04+09:00,settle,2026-07-01,,,,,,,,,24.0,0.0,8400.0,0.0,-8400.0,-1.0,AI purchase settlement
2026-07-02T19:37:22+09:00,settle,2026-07-02,,,,,,,,,4.0,0.0,1400.0,0.0,-1400.0,-1.0,manual catch-up prediction after daily action failure
2026-07-03T19:11:40+09:00,settle,2026-07-03,,,,,,,,,3.0,0.0,1300.0,0.0,-1300.0,-1.0,AI purchase settlement
2026-07-05T09:55:52+09:00,settle,2026-07-04,,,,,,,,,20.0,1.0,7500.0,1500.0,-6000.0,-0.8,AI purchase settlement
2026-07-05T23:26:19+09:00,settle,2026-07-05,,,,,,,,,15.0,0.0,5700.0,0.0,-5700.0,-1.0,AI purchase settlement
2026-07-06T09:34:32+09:00,train,2026-07-05,69949.0,9969.0,0.7746898620445577,0.1046152283567644,1.5372478112579708,1501.0,632.0,0.4210526315789473,,,,,,,WINTICKET history training metrics
