date,venue,race_no,race_id,start_at,close_at,seconds_to_close_at_prediction,strategy_version,bet_type,bet_label,candidate_rank,buy,prob,odds_used,expected_profit_100yen,is_selected
2026-08-15,松山,10,107520260815,1786790880,1786790580,2013,near_close_v2_20260805,exacta,2車単,1,2-1,0.19353761109775788,10.3,99,False
2026-08-15,松山,10,107520260815,1786790880,1786790580,2013,near_close_v2_20260805,exacta,2車単,2,1-2,0.09824864372484633,16.4,61,False
2026-08-15,松山,10,107520260815,1786790880,1786790580,2013,near_close_v2_20260805,exacta,2車単,3,2-3,0.08326556201221441,8.5,-29,False
2026-08-15,松山,10,107520260815,1786790880,1786790580,2013,near_close_v2_20260805,exacta,2車単,4,2-7,0.0706964397095533,18.3,29,False
2026-08-15,松山,10,107520260815,1786790880,1786790580,2013,near_close_v2_20260805,exacta,2車単,5,2-8,0.06560081782403558,27.9,83,False
2026-08-15,松山,10,107520260815,1786790880,1786790580,2013,near_close_v2_20260805,exacta,2車単,6,3-2,0.038473023010837305,14.8,-43,False
2026-08-15,松山,10,107520260815,1786790880,1786790580,2013,near_close_v2_20260805,exacta,2車単,7,7-2,0.03233441527076708,42.0,36,False
2026-08-15,松山,10,107520260815,1786790880,1786790580,2013,near_close_v2_20260805,exacta,2車単,8,8-2,0.029881072877959224,38.7,16,False
2026-08-15,松山,10,107520260815,1786790880,1786790580,2013,near_close_v2_20260805,exacta,2車単,9,1-3,0.010999420864839408,28.6,-69,False
2026-08-15,松山,10,107520260815,1786790880,1786790580,2013,near_close_v2_20260805,exacta,2車単,10,3-1,0.010011508635585751,33.9,-66,False
2026-08-15,松山,10,107520260815,1786790880,1786790580,2013,near_close_v2_20260805,exacta,2車単,11,1-7,0.009339033751997631,24.9,-77,False
2026-08-15,松山,10,107520260815,1786790880,1786790580,2013,near_close_v2_20260805,exacta,2車単,12,1-8,0.008665899645502628,84.9,-26,False
2026-08-15,松山,10,107520260815,1786790880,1786790580,2013,near_close_v2_20260805,exacta,2車単,13,7-1,0.008414110781435452,36.0,-70,False
2026-08-15,松山,10,107520260815,1786790880,1786790580,2013,near_close_v2_20260805,exacta,2車単,14,8-1,0.007775698287966306,107.5,-16,False
2026-08-15,松山,10,107520260815,1786790880,1786790580,2013,near_close_v2_20260805,exacta,2車単,15,3-7,0.0036570566963330673,79.1,-71,False
