date,venue,race_no,race_id,bet_type,bet_label,candidate_rank,buy,prob,odds_used,expected_profit_100yen,is_selected,stake_yen,return_if_hit_yen,profit_if_hit_yen,loss_amount_yen,expected_profit_yen
2026-07-09,久留米,3,038320260709,exacta,2車単,1,3-5,0.08743774480776163,117.4,927,True,400,46960.0,46560.0,400,3708.0
2026-07-09,弥彦,2,022120260709,quinella_place,ワイド,1,2-3,0.5771101552482674,9.1,425,True,200,1820.0,1620.0,200,850.0
2026-07-09,弥彦,2,022120260709,trifecta,3連単,2,1-2-3,0.1228647314701868,74.8,819,True,300,22440.0,22140.0,300,2457.0
2026-07-09,弥彦,4,042120260709,trifecta,3連単,2,1-2-4,0.1019370321079593,104.9,969,True,400,41960.0,41560.0,400,3876.0
2026-07-09,弥彦,4,042120260709,trio,3連複,2,1-2-4,0.2778079441436629,37.0,928,True,400,14800.0,14400.0,400,3712.0
2026-07-09,弥彦,5,052120260709,quinella_place,ワイド,1,1-3,0.5293909807140713,7.6,302,True,200,1520.0,1320.0,200,604.0
2026-07-09,弥彦,7,072120260709,trio,3連複,1,1-2-3,0.6517984862416532,15.1,884,True,300,4530.0,4230.0,300,2652.0
2026-07-09,玉野,2,026120260709,quinella_place,ワイド,1,1-2,0.5821040984868362,7.7,348,True,200,1540.0,1340.0,200,696.0
2026-07-09,玉野,4,046120260709,exacta,2車単,1,1-3,0.15457124454579724,101.6,1470,True,500,50800.0,50300.0,500,7350.0
2026-07-09,玉野,5,056120260709,trio,3連複,3,1-3-7,0.08274322637082585,294.7,2338,True,500,147350.0,146850.0,500,11690.0
2026-07-09,玉野,6,066120260709,exacta,2車単,3,1-7,0.09707267153302869,100.5,876,True,300,30150.0,29850.0,300,2628.0
2026-07-09,玉野,6,066120260709,exacta,2車単,4,2-7,0.09707267153302869,100.5,876,True,300,30150.0,29850.0,300,2628.0
2026-07-09,防府,9,096320260709,trifecta,3連単,3,1-5-3,0.07445305246775123,133.5,894,True,300,40050.0,39750.0,300,2682.0
