bet_type,buy,prob,race_id,odds_used,is_actual,actual_buy,date,venue,race_no,expected_profit_100yen,stake_yen,is_hit,return_yen,profit_yen,bet_label
trifecta,7-6-1,0.1328084507064027,048520251023,185.8,False,7-1-4,2025-10-23,佐世保,4,2367.581014124962,500,False,0.0,-500.0,3連単
quinella,1-3,0.12870038779831094,068520251023,191.2,False,1-7,2025-10-23,佐世保,6,2360.751414703705,500,False,0.0,-500.0,2車複
trifecta,5-3-6,0.1067846179978621,072620251023,169.6,False,5-2-4,2025-10-23,西武園,7,1711.067121243741,500,False,0.0,-500.0,3連単
trifecta,7-1-4,0.10963016766792255,078520251023,115.4,False,5-2-7,2025-10-23,佐世保,7,1165.1321348878262,400,False,0.0,-400.0,3連単
trifecta,3-5-1,0.06817463351151469,072620251023,185.1,False,5-2-4,2025-10-23,西武園,7,1161.912466298137,400,False,0.0,-400.0,3連単
trifecta,7-6-1,0.06546346416812758,038520251023,187.3,False,7-1-4,2025-10-23,佐世保,3,1126.1306838690298,400,False,0.0,-400.0,3連単
trifecta,7-1-5,0.06477620211180175,078520251023,181.6,False,5-2-7,2025-10-23,佐世保,7,1076.3358303503198,400,False,0.0,-400.0,3連単
quinella,2-3,0.13349496497597332,068520251023,87.9,False,1-7,2025-10-23,佐世保,6,1073.4207421388057,400,False,0.0,-400.0,2車複
exacta,7-1,0.1980309346010832,078520251023,58.6,False,5-2,2025-10-23,佐世保,7,1060.4612767623476,400,False,0.0,-400.0,2車単
quinella_place,1-3,0.39450621025860594,068520251023,29.2,False,1-5|1-7|5-7,2025-10-23,佐世保,6,1051.9581339551291,400,False,0.0,-400.0,ワイド
trifecta,7-1-6,0.4616757660071201,048520251023,24.7,False,7-1-4,2025-10-23,佐世保,4,1040.3391420375867,400,False,0.0,-400.0,3連単
exacta,7-6,0.14154237321274357,048520251023,76.2,False,7-1,2025-10-23,佐世保,4,978.552883881106,400,False,0.0,-400.0,2車単
exacta,3-5,0.18156631084450733,072620251023,58.1,False,5-2,2025-10-23,西武園,7,954.9002660065876,400,False,0.0,-400.0,2車単
trifecta,7-4-1,0.041112222577098144,052620251023,256.5,False,2-5-7,2025-10-23,西武園,5,954.5285091025673,400,False,0.0,-400.0,3連単
exacta,3-2,0.059077252347527746,068520251023,170.1,False,7-1,2025-10-23,佐世保,6,904.904062431447,400,False,0.0,-400.0,2車単
quinella_place,1-6,0.7742715983293296,048520251023,12.5,False,1-4|1-7|4-7,2025-10-23,佐世保,4,867.839497911662,300,False,0.0,-300.0,ワイド
trifecta,7-1-4,0.03318512103416221,052620251023,275.4,False,2-5-7,2025-10-23,西武園,5,813.9182332808273,300,False,0.0,-300.0,3連単
exacta,1-3,0.07130698793423192,068520251023,127.6,False,7-1,2025-10-23,佐世保,6,809.8771660407992,300,False,0.0,-300.0,2車単
quinella_place,3-6,0.21579416986803543,072620251023,37.1,False,2-4|2-5|4-5,2025-10-23,西武園,7,700.5963702104115,300,False,0.0,-300.0,ワイド
quinella,1-7,0.4114964283984075,078520251023,19.2,False,2-5,2025-10-23,佐世保,7,690.0731425249423,300,False,0.0,-300.0,2車複
trifecta,7-2-1,0.06053560322493432,042620251023,129.8,False,7-3-2,2025-10-23,西武園,4,685.7521298596475,300,False,0.0,-300.0,3連単
trifecta,3-2-4,0.04357815155130076,028520251023,170.5,False,4-6-3,2025-10-23,佐世保,2,643.0074839496779,300,False,0.0,-300.0,3連単
exacta,7-4,0.07790240223908979,078520251023,93.4,False,5-2,2025-10-23,佐世保,7,627.6084369130987,300,False,0.0,-300.0,2車単
trio,1-3-7,0.07665498712825553,068520251023,93.1,False,1-5-7,2025-10-23,佐世保,6,613.6579301640589,300,False,0.0,-300.0,3連複
exacta,7-6,0.1036986214766752,038520251023,66.4,False,7-1,2025-10-23,佐世保,3,588.5588466051234,200,False,0.0,-200.0,2車単
trifecta,7-4-1,0.04706519899833306,038520251023,145.4,False,7-1-4,2025-10-23,佐世保,3,584.3279934357627,200,False,0.0,-200.0,3連単
trifecta,7-1-2,0.05024196754948147,042620251023,119.2,False,7-3-2,2025-10-23,西武園,4,498.8842531898191,200,False,0.0,-200.0,3連単
quinella,5-6,0.07246734584872247,072620251023,82.4,False,2-5,2025-10-23,西武園,7,497.1309297934732,200,False,0.0,-200.0,2車複
trifecta,7-1-2,0.19243045993899913,062620251023,30.0,False,1-7-2,2025-10-23,西武園,6,477.2913798169974,200,False,0.0,-200.0,3連単
trifecta,7-4-2,0.07094924964539273,062620251023,80.1,False,1-7-2,2025-10-23,西武園,6,468.30348965959575,200,False,0.0,-200.0,3連単
exacta,3-2,0.06949546626385208,028520251023,79.2,False,4-6,2025-10-23,佐世保,2,450.4040928097085,200,False,0.0,-200.0,2車単
trifecta,1-2-7,0.05283203414316967,068520251023,98.5,False,7-1-5,2025-10-23,佐世保,6,420.3955363102213,200,False,0.0,-200.0,3連単
trifecta,7-2-6,0.04779284444606345,022620251023,102.4,False,2-1-7,2025-10-23,西武園,2,389.39872712768977,200,False,0.0,-200.0,3連単
trio,2-3-5,0.08407512743916695,028520251023,55.0,False,3-4-6,2025-10-23,佐世保,2,362.41320091541826,200,False,0.0,-200.0,3連複
exacta,7-1,0.3091848898837528,062620251023,14.9,False,1-7,2025-10-23,西武園,6,360.68548592679167,200,False,0.0,-200.0,2車単
exacta,7-4,0.07770452675905369,038520251023,58.6,False,7-1,2025-10-23,佐世保,3,355.34852680805466,200,False,0.0,-200.0,2車単
trifecta,1-7-5,0.25087464520412256,032620251023,18.1,False,5-1-3,2025-10-23,西武園,3,354.0831078194619,200,False,0.0,-200.0,3連単
trifecta,7-2-6,0.02196345039197159,018520251023,206.0,False,2-4-1,2025-10-23,佐世保,1,352.44707807461475,200,False,0.0,-200.0,3連単
exacta,6-7,0.03431322467422088,048520251023,130.7,False,7-1,2025-10-23,佐世保,4,348.47384649206685,200,False,0.0,-200.0,2車単
exacta,5-3,0.45128481463174824,072620251023,9.5,False,5-2,2025-10-23,西武園,7,328.72057390016084,200,False,0.0,-200.0,2車単
