bet_type,bet_label,period,bets,hits,stake_yen,return_yen,profit_yen,roi
exacta,2車単,Q1_old,4118,63,762200,953920,191720,0.25153503017580686
exacta,2車単,Q2,4354,44,724400,554580,-169820,-0.23442849254555495
exacta,2車単,Q3,4370,48,706200,499320,-206880,-0.2929481733220051
exacta,2車単,Q4_new,4483,60,682300,750620,68320,0.10013190678587132
quinella,2車複,Q1_old,2785,73,422100,579170,157070,0.3721156124141199
quinella,2車複,Q2,2933,70,418900,521070,102170,0.2439006922893292
quinella,2車複,Q3,2927,58,403100,297330,-105770,-0.26239146613743486
quinella,2車複,Q4_new,2772,66,358900,262700,-96200,-0.26804123711340205
quinella_place,ワイド,Q1_old,1449,111,190000,205720,15720,0.08273684210526316
quinella_place,ワイド,Q2,1177,83,147800,160420,12620,0.08538565629228688
quinella_place,ワイド,Q3,1169,81,139600,176870,37270,0.26697707736389686
quinella_place,ワイド,Q4_new,1120,77,135000,178830,43830,0.32466666666666666
trifecta,3連単,Q1_old,3660,29,789100,1088890,299790,0.37991382587758205
trifecta,3連単,Q2,3582,25,651600,583760,-67840,-0.10411295273173726
trifecta,3連単,Q3,3496,31,627900,1104080,476180,0.7583691670648193
trifecta,3連単,Q4_new,3678,30,635600,685290,49690,0.07817809943360604
trio,3連複,Q1_old,1501,51,250700,474540,223840,0.8928599920223375
trio,3連複,Q2,1467,27,228500,388230,159730,0.6990371991247265
trio,3連複,Q3,1550,25,235100,285230,50130,0.2132284134410889
trio,3連複,Q4_new,1460,33,210700,332200,121500,0.5766492643569056
