bet_type,bet_label,period,bets,hits,stake_yen,return_yen,profit_yen,roi,min_prob,min_ev,max_odds
exacta,2車単,Q1_old,243,9,97800,407700,309900,3.168711656441718,0.05,800,200
exacta,2車単,Q2,100,4,39500,151800,112300,2.8430379746835444,0.05,800,200
exacta,2車単,Q3,92,3,35100,140220,105120,2.994871794871795,0.05,800,200
exacta,2車単,Q4_new,82,2,32600,99000,66400,2.03680981595092,0.05,800,200
exacta,2車単,ALL,517,18,205000,798720,593720,2.8961951219512194,0.05,800,200
quinella,2車複,Q1_old,41,4,20500,204600,184100,8.980487804878049,0.05,1200,300
quinella,2車複,Q2,23,5,11500,226500,215000,18.695652173913043,0.05,1200,300
quinella,2車複,Q3,18,1,9000,51950,42950,4.772222222222222,0.05,1200,300
quinella,2車複,Q4_new,11,1,5500,23550,18050,3.2818181818181817,0.05,1200,300
quinella,2車複,ALL,93,11,46500,506600,460100,9.894623655913978,0.05,1200,300
quinella_place,ワイド,Q1_old,310,29,72500,124390,51890,0.7157241379310345,0.1,300,100
quinella_place,ワイド,Q2,180,12,41400,72970,31570,0.7625603864734299,0.1,300,100
quinella_place,ワイド,Q3,131,11,30600,69130,38530,1.2591503267973856,0.1,300,100
quinella_place,ワイド,Q4_new,140,19,33900,107320,73420,2.1657817109144544,0.1,300,100
quinella_place,ワイド,ALL,761,71,178400,373810,195410,1.095347533632287,0.1,300,100
trio,3連複,Q1_old,99,8,41700,311360,269660,6.466666666666667,0.07,800,300
trio,3連複,Q2,69,5,28300,249100,220800,7.8021201413427566,0.07,800,300
trio,3連複,Q3,38,2,16600,127650,111050,6.6897590361445785,0.07,800,300
trio,3連複,Q4_new,41,5,17600,197640,180040,10.229545454545455,0.07,800,300
trio,3連複,ALL,247,20,104200,885750,781550,7.500479846449136,0.07,800,300
trifecta,3連単,Q1_old,235,7,102000,701950,599950,5.881862745098039,0.07,800,300
trifecta,3連単,Q2,69,2,31000,189700,158700,5.119354838709677,0.07,800,300
trifecta,3連単,Q3,47,2,21400,159600,138200,6.457943925233645,0.07,800,300
trifecta,3連単,Q4_new,57,3,26100,154900,128800,4.934865900383142,0.07,800,300
trifecta,3連単,ALL,408,14,180500,1206150,1025650,5.6822714681440445,0.07,800,300
