bet_type,bet_label,min_prob,min_ev,max_odds,bets,hits,stake_yen,return_yen,profit_yen,roi
exacta,2車単,0.02,100,10,73,6,7300,4900,-2400,-0.3287671232876712
exacta,2車単,0.02,100,20,560,31,60200,49300,-10900,-0.18106312292358803
exacta,2車単,0.02,100,30,1349,58,150100,131840,-18260,-0.12165223184543637
exacta,2車単,0.02,100,50,3513,94,419000,293530,-125470,-0.2994510739856802
exacta,2車単,0.02,100,80,6977,129,900900,635360,-265540,-0.29474969474969476
exacta,2車単,0.02,100,100,9198,149,1237300,989050,-248250,-0.20063848702820658
exacta,2車単,0.02,100,150,13103,164,1899400,1334230,-565170,-0.2975518584816258
exacta,2車単,0.02,100,200,15278,178,2374600,2092770,-281830,-0.11868525225301103
exacta,2車単,0.02,100,300,17298,185,2919400,2554440,-364960,-0.12501198876481467
exacta,2車単,0.02,200,20,171,11,21300,22300,1000,0.046948356807511735
exacta,2車単,0.02,200,30,472,20,62400,59510,-2890,-0.046314102564102566
exacta,2車単,0.02,200,50,1614,36,229100,147630,-81470,-0.3556089044085552
exacta,2車単,0.02,200,80,3830,63,586200,436440,-149760,-0.2554759467758444
exacta,2車単,0.02,200,100,5389,74,856400,710220,-146180,-0.17069126576366184
exacta,2車単,0.02,200,150,8686,85,1457700,1010380,-447320,-0.30686698223228376
exacta,2車単,0.02,200,200,10861,99,1932900,1768920,-163980,-0.08483625640229707
exacta,2車単,0.02,200,300,12881,106,2477700,2230590,-247110,-0.0997336239254147
exacta,2車単,0.02,300,20,39,2,8100,9480,1380,0.17037037037037037
exacta,2車単,0.02,300,30,139,6,29100,33540,4440,0.15257731958762888
exacta,2車単,0.02,300,50,611,10,128800,73540,-55260,-0.42903726708074535
exacta,2車単,0.02,300,80,1785,24,381700,276250,-105450,-0.27626408173958605
exacta,2車単,0.02,300,100,2713,32,588800,523820,-64980,-0.11036005434782609
exacta,2車単,0.02,300,150,4832,41,1072300,797650,-274650,-0.2561316795672853
exacta,2車単,0.02,300,200,6667,53,1513500,1525910,12410,0.008199537495870499
exacta,2車単,0.02,300,300,8687,60,2058300,1987580,-70720,-0.034358451149006465
exacta,2車単,0.02,500,30,25,5,6300,29420,23120,3.6698412698412697
exacta,2車単,0.02,500,50,115,6,29600,44420,14820,0.5006756756756757
exacta,2車単,0.02,500,80,384,11,101500,129110,27610,0.27201970443349754
exacta,2車単,0.02,500,100,650,16,176200,323100,146900,0.8337116912599319
exacta,2車単,0.02,500,150,1407,21,387300,509730,122430,0.3161115414407436
exacta,2車単,0.02,500,200,2187,29,617500,1094130,476630,0.7718704453441295
exacta,2車単,0.02,500,300,3528,33,1026500,1426220,399720,0.3894008767657087
exacta,2車単,0.02,800,80,59,3,22400,55750,33350,1.4888392857142858
exacta,2車単,0.02,800,100,122,8,47800,249740,201940,4.224686192468619
exacta,2車単,0.02,800,150,289,11,113400,390350,276950,2.4422398589065257
exacta,2車単,0.02,800,200,514,16,202800,813980,611180,3.0137080867850097
exacta,2車単,0.02,800,300,976,17,388200,941030,552830,1.4240855229263267
exacta,2車単,0.02,1200,100,36,4,18000,168150,150150,8.341666666666667
exacta,2車単,0.02,1200,150,81,5,40500,231350,190850,4.712345679012346
exacta,2車単,0.02,1200,200,137,9,68500,577300,508800,7.427737226277372
exacta,2車単,0.02,1200,300,262,10,131000,704350,573350,4.376717557251909
exacta,2車単,0.02,2000,200,25,5,12500,315100,302600,24.208
exacta,2車単,0.02,2000,300,47,5,23500,315100,291600,12.408510638297873
exacta,2車単,0.03,100,10,73,6,7300,4900,-2400,-0.3287671232876712
exacta,2車単,0.03,100,20,560,31,60200,49300,-10900,-0.18106312292358803
exacta,2車単,0.03,100,30,1349,58,150100,131840,-18260,-0.12165223184543637
exacta,2車単,0.03,100,50,3513,94,419000,293530,-125470,-0.2994510739856802
exacta,2車単,0.03,100,80,6909,128,894100,628010,-266090,-0.29760653170786266
exacta,2車単,0.03,100,100,8704,142,1187900,927730,-260170,-0.21901675225187306
exacta,2車単,0.03,100,150,11205,152,1702800,1213360,-489440,-0.28743246417665025
exacta,2車単,0.03,100,200,12330,161,2002000,1831880,-170120,-0.08497502497502497
exacta,2車単,0.03,100,300,13174,163,2295300,2031200,-264100,-0.11506121204199887
exacta,2車単,0.03,200,20,171,11,21300,22300,1000,0.046948356807511735
exacta,2車単,0.03,200,30,472,20,62400,59510,-2890,-0.046314102564102566
exacta,2車単,0.03,200,50,1614,36,229100,147630,-81470,-0.3556089044085552
exacta,2車単,0.03,200,80,3830,63,586200,436440,-149760,-0.2554759467758444
exacta,2車単,0.03,200,100,5389,74,856400,710220,-146180,-0.17069126576366184
exacta,2車単,0.03,200,150,7890,84,1371300,995850,-375450,-0.2737912929337125
exacta,2車単,0.03,200,200,9015,93,1670500,1614370,-56130,-0.03360071834780006
exacta,2車単,0.03,200,300,9859,95,1963800,1813690,-150110,-0.07643853752927997
exacta,2車単,0.03,300,20,39,2,8100,9480,1380,0.17037037037037037
exacta,2車単,0.03,300,30,139,6,29100,33540,4440,0.15257731958762888
exacta,2車単,0.03,300,50,611,10,128800,73540,-55260,-0.42903726708074535
exacta,2車単,0.03,300,80,1785,24,381700,276250,-105450,-0.27626408173958605
exacta,2車単,0.03,300,100,2713,32,588800,523820,-64980,-0.11036005434782609
exacta,2車単,0.03,300,150,4764,41,1058700,797650,-261050,-0.24657598942098802
exacta,2車単,0.03,300,200,5889,50,1357900,1416170,58270,0.04291184917887915
exacta,2車単,0.03,300,300,6733,52,1651200,1615490,-35710,-0.02162669573643411
exacta,2車単,0.03,500,30,25,5,6300,29420,23120,3.6698412698412697
exacta,2車単,0.03,500,50,115,6,29600,44420,14820,0.5006756756756757
exacta,2車単,0.03,500,80,384,11,101500,129110,27610,0.27201970443349754
exacta,2車単,0.03,500,100,650,16,176200,323100,146900,0.8337116912599319
exacta,2車単,0.03,500,150,1407,21,387300,509730,122430,0.3161115414407436
exacta,2車単,0.03,500,200,2187,29,617500,1094130,476630,0.7718704453441295
exacta,2車単,0.03,500,300,3031,31,910800,1293450,382650,0.4201251646903821
exacta,2車単,0.03,800,80,59,3,22400,55750,33350,1.4888392857142858
exacta,2車単,0.03,800,100,122,8,47800,249740,201940,4.224686192468619
exacta,2車単,0.03,800,150,289,11,113400,390350,276950,2.4422398589065257
exacta,2車単,0.03,800,200,514,16,202800,813980,611180,3.0137080867850097
exacta,2車単,0.03,800,300,976,17,388200,941030,552830,1.4240855229263267
exacta,2車単,0.03,1200,100,36,4,18000,168150,150150,8.341666666666667
exacta,2車単,0.03,1200,150,81,5,40500,231350,190850,4.712345679012346
exacta,2車単,0.03,1200,200,137,9,68500,577300,508800,7.427737226277372
exacta,2車単,0.03,1200,300,262,10,131000,704350,573350,4.376717557251909
exacta,2車単,0.03,2000,200,25,5,12500,315100,302600,24.208
exacta,2車単,0.03,2000,300,47,5,23500,315100,291600,12.408510638297873
exacta,2車単,0.04,100,10,73,6,7300,4900,-2400,-0.3287671232876712
exacta,2車単,0.04,100,20,560,31,60200,49300,-10900,-0.18106312292358803
exacta,2車単,0.04,100,30,1349,58,150100,131840,-18260,-0.12165223184543637
exacta,2車単,0.04,100,50,3513,94,419000,293530,-125470,-0.2994510739856802
exacta,2車単,0.04,100,80,6266,123,829800,592660,-237140,-0.28577970595324176
exacta,2車単,0.04,100,100,7423,131,1059800,840230,-219570,-0.20718060011322892
exacta,2車単,0.04,100,150,8758,140,1386500,1114060,-272440,-0.19649477100613055
exacta,2車単,0.04,100,200,9291,147,1562300,1640590,78290,0.05011201433783524
exacta,2車単,0.04,100,300,9675,148,1720200,1767640,47440,0.02757818858272294
exacta,2車単,0.04,200,20,171,11,21300,22300,1000,0.046948356807511735
exacta,2車単,0.04,200,30,472,20,62400,59510,-2890,-0.046314102564102566
exacta,2車単,0.04,200,50,1614,36,229100,147630,-81470,-0.3556089044085552
exacta,2車単,0.04,200,80,3812,63,584400,436440,-147960,-0.25318275154004105
exacta,2車単,0.04,200,100,4969,71,814400,684010,-130390,-0.16010559921414538
exacta,2車単,0.04,200,150,6304,80,1141100,957840,-183260,-0.1605994216107265
exacta,2車単,0.04,200,200,6837,87,1316900,1484370,167470,0.12716986863087554
exacta,2車単,0.04,200,300,7221,88,1474800,1611420,136620,0.09263628966639545
exacta,2車単,0.04,300,20,39,2,8100,9480,1380,0.17037037037037037
exacta,2車単,0.04,300,30,139,6,29100,33540,4440,0.15257731958762888
exacta,2車単,0.04,300,50,611,10,128800,73540,-55260,-0.42903726708074535
exacta,2車単,0.04,300,80,1785,24,381700,276250,-105450,-0.27626408173958605
exacta,2車単,0.04,300,100,2713,32,588800,523820,-64980,-0.11036005434782609
exacta,2車単,0.04,300,150,4048,41,915500,797650,-117850,-0.12872747132714363
exacta,2車単,0.04,300,200,4581,48,1091300,1324180,232880,0.2133968661229726
exacta,2車単,0.04,300,300,4965,49,1249200,1451230,202030,0.16172750560358629
exacta,2車単,0.04,500,30,25,5,6300,29420,23120,3.6698412698412697
exacta,2車単,0.04,500,50,115,6,29600,44420,14820,0.5006756756756757
exacta,2車単,0.04,500,80,384,11,101500,129110,27610,0.27201970443349754
exacta,2車単,0.04,500,100,650,16,176200,323100,146900,0.8337116912599319
exacta,2車単,0.04,500,150,1407,21,387300,509730,122430,0.3161115414407436
exacta,2車単,0.04,500,200,1940,28,563100,1036260,473160,0.8402770378263186
exacta,2車単,0.04,500,300,2324,29,721000,1163310,442310,0.6134674063800277
exacta,2車単,0.04,800,80,59,3,22400,55750,33350,1.4888392857142858
exacta,2車単,0.04,800,100,122,8,47800,249740,201940,4.224686192468619
exacta,2車単,0.04,800,150,289,11,113400,390350,276950,2.4422398589065257
exacta,2車単,0.04,800,200,514,16,202800,813980,611180,3.0137080867850097
exacta,2車単,0.04,800,300,867,17,351400,941030,589630,1.677945361411497
exacta,2車単,0.04,1200,100,36,4,18000,168150,150150,8.341666666666667
exacta,2車単,0.04,1200,150,81,5,40500,231350,190850,4.712345679012346
exacta,2車単,0.04,1200,200,137,9,68500,577300,508800,7.427737226277372
exacta,2車単,0.04,1200,300,262,10,131000,704350,573350,4.376717557251909
exacta,2車単,0.04,2000,200,25,5,12500,315100,302600,24.208
exacta,2車単,0.04,2000,300,47,5,23500,315100,291600,12.408510638297873
exacta,2車単,0.05,100,10,73,6,7300,4900,-2400,-0.3287671232876712
exacta,2車単,0.05,100,20,560,31,60200,49300,-10900,-0.18106312292358803
exacta,2車単,0.05,100,30,1349,58,150100,131840,-18260,-0.12165223184543637
exacta,2車単,0.05,100,50,3403,94,408000,293530,-114470,-0.2805637254901961
exacta,2車単,0.05,100,80,5364,116,739600,543590,-196010,-0.2650216333153056
exacta,2車単,0.05,100,100,6031,123,894500,772280,-122220,-0.1366349916154276
exacta,2車単,0.05,100,150,6745,130,1096100,995190,-100910,-0.09206276799562084
exacta,2車単,0.05,100,200,7013,136,1198400,1469940,271540,0.22658544726301735
exacta,2車単,0.05,100,300,7177,137,1275200,1596990,321790,0.252344730238394
exacta,2車単,0.05,200,20,171,11,21300,22300,1000,0.046948356807511735
exacta,2車単,0.05,200,30,472,20,62400,59510,-2890,-0.046314102564102566
exacta,2車単,0.05,200,50,1614,36,229100,147630,-81470,-0.3556089044085552
exacta,2車単,0.05,200,80,3466,57,549800,392410,-157390,-0.2862677337213532
exacta,2車単,0.05,200,100,4133,64,704700,621100,-83600,-0.11863204200368951
exacta,2車単,0.05,200,150,4847,71,906300,844010,-62290,-0.0687300011033874
exacta,2車単,0.05,200,200,5115,77,1008600,1318760,310160,0.3075153678366052
exacta,2車単,0.05,200,300,5279,78,1085400,1445810,360410,0.3320526994656348
exacta,2車単,0.05,300,20,39,2,8100,9480,1380,0.17037037037037037
exacta,2車単,0.05,300,30,139,6,29100,33540,4440,0.15257731958762888
exacta,2車単,0.05,300,50,611,10,128800,73540,-55260,-0.42903726708074535
exacta,2車単,0.05,300,80,1785,24,381700,276250,-105450,-0.27626408173958605
exacta,2車単,0.05,300,100,2452,31,536600,504940,-31660,-0.05900111815132315
exacta,2車単,0.05,300,150,3166,38,738200,727850,-10350,-0.014020590625846653
exacta,2車単,0.05,300,200,3434,44,840500,1202600,362100,0.43081499107674004
exacta,2車単,0.05,300,300,3598,45,917300,1329650,412350,0.44952578218685274
exacta,2車単,0.05,500,30,25,5,6300,29420,23120,3.6698412698412697
exacta,2車単,0.05,500,50,115,6,29600,44420,14820,0.5006756756756757
exacta,2車単,0.05,500,80,384,11,101500,129110,27610,0.27201970443349754
exacta,2車単,0.05,500,100,650,16,176200,323100,146900,0.8337116912599319
exacta,2車単,0.05,500,150,1262,20,357400,484250,126850,0.35492445439283715
exacta,2車単,0.05,500,200,1530,26,459700,959000,499300,1.0861431368283663
exacta,2車単,0.05,500,300,1694,27,536500,1086050,549550,1.0243243243243243
exacta,2車単,0.05,800,80,59,3,22400,55750,33350,1.4888392857142858
exacta,2車単,0.05,800,100,122,8,47800,249740,201940,4.224686192468619
