buy,trifecta_prob_approx,race_id,trifecta_odds,is_actual,actual_trifecta,date,venue,race_no,expected_profit_100yen,stake_yen,is_hit,return_yen,profit_yen
3-7-2,0.20108211165600912,063420240729,184.6,False,3-6-7,2024-07-29,川崎,6,3611.975781169928,500,False,0.0,-500.0
7-3-2,0.2062270038581904,063420240729,109.4,False,3-6-7,2024-07-29,川崎,6,2156.123422208603,500,False,0.0,-500.0
4-1-5,0.10165195416138059,053620240729,150.1,False,6-7-4,2024-07-29,小田原,5,1425.7958319623226,500,False,0.0,-500.0
4-3-2,0.11721508682081339,062120240729,122.2,True,4-3-2,2024-07-29,弥彦,6,1332.3683609503396,500,True,61100.0,60600.0
1-7-2,0.2542951954473404,024520240730,60.0,False,1-4-5,2024-07-30,豊橋,2,1425.7711726840425,500,False,0.0,-500.0
1-7-4,0.13631767470797349,042320240731,139.6,False,4-2-6,2024-07-31,取手,4,1802.9947389233098,500,False,0.0,-500.0
7-1-4,0.192289477793119,042320240731,72.4,False,4-2-6,2024-07-31,取手,4,1292.1758192221819,500,False,0.0,-500.0
1-5-3,0.16814318135315384,027420240801,123.3,False,1-4-5,2024-08-01,高知,2,1973.2054260843868,500,False,0.0,-500.0
6-1-2,0.12466576899395926,021220240801,125.6,False,1-2-7,2024-08-01,青森,2,1465.8020585641282,500,False,0.0,-500.0
1-6-2,0.20257367233979467,021220240801,64.4,False,1-2-7,2024-08-01,青森,2,1204.5744498682777,500,False,0.0,-500.0
1-3-4,0.14597060722286861,038420240801,89.1,False,2-5-6,2024-08-01,武雄,3,1200.5981103557592,500,False,0.0,-500.0
6-2-4,0.1941397910983833,027520240802,83.9,False,6-3-2,2024-08-02,松山,2,1528.832847315436,500,False,0.0,-500.0
6-4-2,0.105292051180394,027520240802,126.1,False,6-3-2,2024-08-02,松山,2,1227.7327653847683,500,False,0.0,-500.0
1-2-3,0.1862097479755709,085620240803,101.3,False,1-2-4,2024-08-03,岸和田,8,1786.3047469925334,500,False,0.0,-500.0
2-6-5,0.4147529484065405,055420240803,41.9,False,6-5-4,2024-08-03,向日町,5,1637.8148538234047,500,False,0.0,-500.0
5-1-2,0.2069869487692267,067120240803,67.9,False,5-7-1,2024-08-03,高松,6,1305.4413821430494,500,False,0.0,-500.0
2-5-6,0.2518400378789306,055420240803,55.7,False,6-5-4,2024-08-03,向日町,5,1302.7490109856435,500,False,0.0,-500.0
1-3-5,0.12188262593077236,111120240804,136.4,False,5-1-2,2024-08-04,函館,11,1562.4790176957351,500,False,0.0,-500.0
5-4-3,0.11424969685328416,037120240805,183.4,False,2-5-3,2024-08-05,高松,3,1995.3394402892313,500,False,0.0,-500.0
5-4-3,0.13547080470976108,101120240805,109.3,False,5-3-6,2024-08-05,函館,10,1380.6958954776887,500,False,0.0,-500.0
1-2-4,0.21794727522826213,025420240805,66.5,False,2-1-5,2024-08-05,向日町,2,1349.3493802679432,500,False,0.0,-500.0
3-1-2,0.1251845595558329,026120240806,105.7,False,3-7-1,2024-08-06,玉野,2,1223.200794505154,500,False,0.0,-500.0
1-4-6,0.11445170902523726,024520240807,145.1,False,1-2-4,2024-08-07,豊橋,2,1560.6942979561925,500,False,0.0,-500.0
4-6-1,0.11799303182190254,048520240807,116.9,False,1-4-7,2024-08-07,佐世保,4,1279.338541998041,500,False,0.0,-500.0
4-1-7,0.1745200657933623,055120240808,178.2,False,7-1-3,2024-08-08,福井,5,3009.9475724377157,500,False,0.0,-500.0
1-6-2,0.11419486608754917,038520240808,132.7,False,7-2-1,2024-08-08,佐世保,3,1415.3658729817773,500,False,0.0,-500.0
1-5-7,0.15133817878392894,033420240810,176.0,False,5-2-4,2024-08-10,川崎,3,2563.5519465971493,500,False,0.0,-500.0
2-1-4,0.1292371055431203,032620240810,111.1,False,2-1-3,2024-08-10,西武園,3,1335.8242425840663,500,False,0.0,-500.0
1-4-6,0.2429578476923417,021120240811,107.2,False,1-2-6,2024-08-11,函館,2,2504.5081272619027,500,False,0.0,-500.0
2-1-4,0.11875214982258084,012720240811,158.6,False,3-2-1,2024-08-11,京王閣,1,1783.409096186132,500,False,0.0,-500.0
3-2-1,0.19987598014639646,048520240813,154.4,False,2-7-3,2024-08-13,佐世保,4,2986.0851334603617,500,False,0.0,-500.0
3-1-4,0.24141753673632083,057320240815,73.9,False,4-1-5,2024-08-15,小松島,5,1684.0755964814111,500,False,0.0,-500.0
3-1-2,0.10393519241872728,057320240815,148.5,False,4-1-5,2024-08-15,小松島,5,1443.4376074181,500,False,0.0,-500.0
4-1-6,0.10592740187832718,074220240816,195.3,False,1-4-6,2024-08-16,名古屋,7,1968.76215868373,500,False,0.0,-500.0
3-2-4,0.12785192280562682,016120240818,109.2,False,4-1-6,2024-08-18,玉野,1,1296.142997037445,500,False,0.0,-500.0
1-3-2,0.18885421425319984,055620240819,126.6,False,3-7-1,2024-08-19,岸和田,5,2290.89435244551,500,False,0.0,-500.0
1-3-7,0.30822081064560397,031120240819,43.7,False,1-5-4,2024-08-19,函館,3,1246.9249425212893,500,False,0.0,-500.0
5-1-3,0.12083216614706177,045620240820,134.0,False,5-3-4,2024-08-20,岸和田,4,1519.1510263706277,500,False,0.0,-500.0
1-3-2,0.19027718946615463,058420240827,99.0,False,1-5-2,2024-08-27,武雄,5,1783.7441757149306,500,False,0.0,-500.0
1-2-3,0.12959151450139114,058420240827,118.4,False,1-5-2,2024-08-27,武雄,5,1434.3635316964712,500,False,0.0,-500.0
1-7-3,0.13960912666891115,062820240901,146.2,False,3-7-1,2024-09-01,立川,6,1941.0854318994807,500,False,0.0,-500.0
7-1-3,0.10571727113509113,062820240901,182.2,False,3-7-1,2024-09-01,立川,6,1826.1686800813602,500,False,0.0,-500.0
4-5-7,0.11296893969773608,048720240902,189.6,False,5-4-1,2024-09-02,熊本,4,2041.891096669076,500,False,0.0,-500.0
4-5-1,0.16437670865635423,048720240902,81.4,False,5-4-1,2024-09-02,熊本,4,1238.0264084627236,500,False,0.0,-500.0
4-1-2,0.1305142623975459,061220240904,190.9,False,4-3-7,2024-09-04,青森,6,2391.5172691691514,500,False,0.0,-500.0
2-5-3,0.1241925982718325,097320240908,165.3,False,6-1-4,2024-09-08,小松島,9,1952.9036494333916,500,False,0.0,-500.0
5-2-3,0.1423640289494659,097320240908,128.6,False,6-1-4,2024-09-08,小松島,9,1730.8014122901313,500,False,0.0,-500.0
1-2-3,0.1059970958038551,022220240916,137.5,False,1-5-2,2024-09-16,前橋,2,1357.4600673030075,500,False,0.0,-500.0
3-2-4,0.14358708161832867,104620240917,198.2,False,3-7-2,2024-09-17,富山,10,2745.895957675274,500,False,0.0,-500.0
3-6-5,0.13226722938341348,042720240919,126.2,False,3-5-6,2024-09-19,京王閣,4,1569.212434818678,500,False,0.0,-500.0
1-2-5,0.20713533776593962,015320241020,109.9,False,2-4-1,2024-10-20,奈良,1,2176.4173620476763,500,False,0.0,-500.0
5-4-2,0.1107714654474093,042320241113,131.6,False,2-4-5,2024-11-13,取手,4,1357.7524852879064,500,False,0.0,-500.0
3-2-5,0.7293501437948776,015520241215,42.9,True,3-2-5,2024-12-15,和歌山,1,3028.9121168800248,500,True,21450.0,20950.0
5-7-1,0.3172668864704361,112320241229,150.8,False,7-5-4,2024-12-29,取手,11,4684.384647974177,500,False,0.0,-500.0
7-5-1,0.13632767274436905,112320241229,97.4,False,7-5-4,2024-12-29,取手,11,1227.8315325301546,500,False,0.0,-500.0
5-4-1,0.1992022215230637,062420250111,119.6,False,6-1-5,2025-01-11,宇都宮,6,2282.4585694158413,500,False,0.0,-500.0
5-1-4,0.35758014767649676,062420250111,60.3,False,6-1-5,2025-01-11,宇都宮,6,2056.2082904892754,500,False,0.0,-500.0
7-4-3,0.17563669008265964,016320250111,75.5,False,7-2-4,2025-01-11,防府,1,1226.0570101240803,500,False,0.0,-500.0
3-2-1,0.14767329954445232,044220250117,163.1,False,2-1-6,2025-01-17,名古屋,4,2308.5515155700173,500,False,0.0,-500.0
3-1-6,0.1553877301722509,084220250325,199.8,False,3-1-5,2025-03-25,名古屋,8,3004.6468488415735,500,False,0.0,-500.0
1-3-5,0.24293423549017937,084220250325,63.6,False,3-1-5,2025-03-25,名古屋,8,1445.0617377175408,500,False,0.0,-500.0
3-5-4,0.12910371156729541,015620250409,114.4,False,5-3-4,2025-04-09,岸和田,1,1376.9464603298595,500,False,0.0,-500.0
2-3-6,0.13056004427124582,017120250516,174.8,True,2-3-6,2025-05-16,高松,1,2182.189573861377,500,True,87400.0,86900.0
