min_prob,min_ev,max_odds,bets,hits,stake,return,profit,roi
0.1,1200,200,68,3,34000,169950,135950,3.998529411764706
0.08,1200,200,83,3,41500,169950,128450,3.095180722891566
0.015,1200,200,95,3,47500,169950,122450,2.5778947368421052
0.02,1200,200,95,3,47500,169950,122450,2.5778947368421052
0.025,1200,200,95,3,47500,169950,122450,2.5778947368421052
0.03,1200,200,95,3,47500,169950,122450,2.5778947368421052
0.04,1200,200,95,3,47500,169950,122450,2.5778947368421052
0.05,1200,200,95,3,47500,169950,122450,2.5778947368421052
0.06,1200,200,95,3,47500,169950,122450,2.5778947368421052
0.1,1200,300,98,3,49000,169950,120950,2.4683673469387757
0.1,500,200,176,5,66600,187510,120910,1.8154654654654654
0.1,800,200,111,3,50000,169950,119950,2.399
0.1,200,200,257,7,80800,193550,112750,1.3954207920792079
0.1,100,200,276,8,82700,195450,112750,1.3633615477629988
0.08,500,200,296,6,105800,218470,112670,1.0649338374291115
0.1,150,200,268,7,81900,193550,111650,1.3632478632478633
0.1,300,200,237,5,78800,187510,108710,1.3795685279187817
0.1,500,300,206,5,81600,187510,105910,1.2979166666666666
0.1,800,300,141,3,65000,169950,104950,1.6146153846153846
0.08,1200,300,135,3,67500,169950,102450,1.5177777777777777
0.015,2000,200,20,2,10000,108850,98850,9.885
0.02,2000,200,20,2,10000,108850,98850,9.885
0.025,2000,200,20,2,10000,108850,98850,9.885
0.03,2000,200,20,2,10000,108850,98850,9.885
0.04,2000,200,20,2,10000,108850,98850,9.885
0.05,2000,200,20,2,10000,108850,98850,9.885
0.06,2000,200,20,2,10000,108850,98850,9.885
0.08,2000,200,20,2,10000,108850,98850,9.885
0.1,2000,200,20,2,10000,108850,98850,9.885
0.1,200,300,287,7,95800,193550,97750,1.0203549060542798
0.1,100,300,306,8,97700,195450,97750,1.0005117707267144
0.08,800,200,167,3,72700,169950,97250,1.3376891334250345
0.1,150,300,298,7,96900,193550,96650,0.9974200206398349
0.1,300,300,267,5,93800,187510,93710,0.9990405117270789
0.08,200,200,453,8,133100,224510,91410,0.6867768595041323
0.08,100,200,484,9,136200,226410,90210,0.6623348017621146
0.08,150,200,472,8,135000,224510,89510,0.6630370370370371
0.08,300,200,412,6,129000,218470,89470,0.6935658914728682
0.08,500,300,348,6,131800,218470,86670,0.657587253414264
0.1,2000,300,50,2,25000,108850,83850,3.354
0.08,2000,300,58,2,29000,108850,79850,2.753448275862069
0.015,2000,300,61,2,30500,108850,78350,2.5688524590163935
0.02,2000,300,61,2,30500,108850,78350,2.5688524590163935
0.025,2000,300,61,2,30500,108850,78350,2.5688524590163935
0.03,2000,300,61,2,30500,108850,78350,2.5688524590163935
0.04,2000,300,61,2,30500,108850,78350,2.5688524590163935
0.05,2000,300,61,2,30500,108850,78350,2.5688524590163935
0.06,2000,300,61,2,30500,108850,78350,2.5688524590163935
0.08,800,300,219,3,98700,169950,71250,0.7218844984802432
0.08,200,300,505,8,159100,224510,65410,0.41112507856693903
0.08,100,300,536,9,162200,226410,64210,0.39586929716399505
0.08,150,300,524,8,161000,224510,63510,0.394472049689441
0.08,300,300,464,6,155000,218470,63470,0.4094838709677419
0.06,500,200,522,7,175900,237130,61230,0.3480955088118249
0.06,1200,300,218,3,109000,169950,60950,0.5591743119266055
0.06,800,200,263,3,109100,169950,60850,0.5577451879010082
0.1,1200,150,49,2,24500,82550,58050,2.369387755102041
0.015,1200,150,51,2,25500,82550,57050,2.2372549019607844
0.02,1200,150,51,2,25500,82550,57050,2.2372549019607844
0.025,1200,150,51,2,25500,82550,57050,2.2372549019607844
0.03,1200,150,51,2,25500,82550,57050,2.2372549019607844
0.04,1200,150,51,2,25500,82550,57050,2.2372549019607844
0.05,1200,150,51,2,25500,82550,57050,2.2372549019607844
0.06,1200,150,51,2,25500,82550,57050,2.2372549019607844
0.08,1200,150,51,2,25500,82550,57050,2.2372549019607844
0.05,500,200,698,8,225800,275530,49730,0.22023914968999114
0.05,800,200,314,3,126300,169950,43650,0.34560570071258906
0.1,500,150,157,4,57100,100110,43010,0.7532399299474606
0.08,500,150,261,5,88600,131070,42470,0.47934537246049663
0.1,800,150,92,2,40500,82550,42050,1.0382716049382716
0.05,1200,300,256,3,128000,169950,41950,0.327734375
0.015,800,200,323,3,129000,169950,40950,0.3174418604651163
0.02,800,200,323,3,129000,169950,40950,0.3174418604651163
0.025,800,200,323,3,129000,169950,40950,0.3174418604651163
0.03,800,200,323,3,129000,169950,40950,0.3174418604651163
0.04,800,200,323,3,129000,169950,40950,0.3174418604651163
0.015,1200,300,264,3,132000,169950,37950,0.2875
0.02,1200,300,264,3,132000,169950,37950,0.2875
0.025,1200,300,264,3,132000,169950,37950,0.2875
0.03,1200,300,264,3,132000,169950,37950,0.2875
0.04,1200,300,264,3,132000,169950,37950,0.2875
0.1,200,150,238,6,71300,106150,34850,0.4887798036465638
0.1,100,150,257,7,73200,108050,34850,0.4760928961748634
0.1,150,150,249,6,72400,106150,33750,0.4661602209944751
0.1,300,150,218,4,69300,100110,30810,0.4445887445887446
0.015,500,50,32,3,9300,39010,29710,3.1946236559139787
0.02,500,50,32,3,9300,39010,29710,3.1946236559139787
0.025,500,50,32,3,9300,39010,29710,3.1946236559139787
0.03,500,50,32,3,9300,39010,29710,3.1946236559139787
0.04,500,50,32,3,9300,39010,29710,3.1946236559139787
0.05,500,50,32,3,9300,39010,29710,3.1946236559139787
0.06,500,50,32,3,9300,39010,29710,3.1946236559139787
0.08,500,50,32,3,9300,39010,29710,3.1946236559139787
0.1,500,50,32,3,9300,39010,29710,3.1946236559139787
0.05,500,150,527,7,159100,188130,29030,0.18246385920804525
0.08,800,150,132,2,55500,82550,27050,0.4873873873873874
0.1,200,50,104,5,21700,45050,23350,1.076036866359447
0.1,100,50,123,6,23600,46950,23350,0.989406779661017
0.1,150,50,115,5,22800,45050,22250,0.9758771929824561
0.08,200,150,418,7,115900,137110,21210,0.18300258843830888
0.015,2000,50,1,1,500,21450,20950,41.9
0.02,2000,50,1,1,500,21450,20950,41.9
0.025,2000,50,1,1,500,21450,20950,41.9
0.03,2000,50,1,1,500,21450,20950,41.9
0.04,2000,50,1,1,500,21450,20950,41.9
0.05,2000,50,1,1,500,21450,20950,41.9
0.06,2000,50,1,1,500,21450,20950,41.9
0.08,2000,50,1,1,500,21450,20950,41.9
0.1,2000,50,1,1,500,21450,20950,41.9
0.015,200,50,172,6,30000,50040,20040,0.668
0.02,200,50,172,6,30000,50040,20040,0.668
0.025,200,50,172,6,30000,50040,20040,0.668
0.03,200,50,172,6,30000,50040,20040,0.668
0.04,200,50,172,6,30000,50040,20040,0.668
0.05,200,50,172,6,30000,50040,20040,0.668
0.06,200,50,172,6,30000,50040,20040,0.668
0.08,100,150,449,8,119000,139010,20010,0.16815126050420168
0.015,2000,80,3,1,1500,21450,19950,13.3
0.015,2000,100,3,1,1500,21450,19950,13.3
0.02,2000,80,3,1,1500,21450,19950,13.3
0.02,2000,100,3,1,1500,21450,19950,13.3
0.025,2000,80,3,1,1500,21450,19950,13.3
0.025,2000,100,3,1,1500,21450,19950,13.3
0.03,2000,80,3,1,1500,21450,19950,13.3
0.03,2000,100,3,1,1500,21450,19950,13.3
0.04,2000,80,3,1,1500,21450,19950,13.3
0.04,2000,100,3,1,1500,21450,19950,13.3
0.05,2000,80,3,1,1500,21450,19950,13.3
0.05,2000,100,3,1,1500,21450,19950,13.3
0.06,2000,80,3,1,1500,21450,19950,13.3
0.06,2000,100,3,1,1500,21450,19950,13.3
0.08,2000,80,3,1,1500,21450,19950,13.3
0.08,2000,100,3,1,1500,21450,19950,13.3
0.1,2000,80,3,1,1500,21450,19950,13.3
0.1,2000,100,3,1,1500,21450,19950,13.3
0.015,1200,50,4,1,2000,21450,19450,9.725
0.02,1200,50,4,1,2000,21450,19450,9.725
0.025,1200,50,4,1,2000,21450,19450,9.725
0.03,1200,50,4,1,2000,21450,19450,9.725
0.04,1200,50,4,1,2000,21450,19450,9.725
0.05,1200,50,4,1,2000,21450,19450,9.725
0.06,1200,50,4,1,2000,21450,19450,9.725
0.08,1200,50,4,1,2000,21450,19450,9.725
0.1,1200,50,4,1,2000,21450,19450,9.725
0.1,300,50,84,3,19700,39010,19310,0.9802030456852792
