date,venue,race_no,race_id,bet_type,bet_label,candidate_rank,buy,prob,odds_used,expected_profit_100yen,is_selected,stake_yen,return_if_hit_yen,profit_if_hit_yen,loss_amount_yen,expected_profit_yen,actual_trifecta,actual_trifecta_odds,race_status,decided_at,source_url,actual_trio,actual_exacta,actual_quinella,actual_bracket_exacta,actual_bracket_quinella,actual_quinella_place,actual_for_bet_type,is_decided,is_hit,actual_return_yen,actual_profit_yen
2026-07-05,佐世保,5,058520260705,trifecta,3連単,2,7-5-1,0.0755496550954044,205.1,1450,True,500,102550.0,102050.0,500,7250.0,,,2,0,https://www.winticket.jp/keirin/sasebo/racecard/2026070585/1/5,,,,,,,,False,False,,
2026-07-05,佐世保,5,058520260705,trifecta,3連単,1,5-7-1,0.0755496550954044,150.7,1039,True,400,60280.0,59880.0,400,4156.0,,,2,0,https://www.winticket.jp/keirin/sasebo/racecard/2026070585/1/5,,,,,,,,False,False,,
2026-07-05,別府,5,058620260705,trifecta,3連単,2,2-4-3,0.1189549881700649,125.2,1389,True,500,62600.0,62100.0,500,6945.0,,,1,0,https://www.winticket.jp/keirin/beppu/racecard/2026070486/2/5,,,,,,,,False,False,,
2026-07-05,別府,5,058620260705,trifecta,3連単,1,2-3-4,0.1631306563802569,62.6,921,True,400,25040.0,24640.0,400,3684.0,,,1,0,https://www.winticket.jp/keirin/beppu/racecard/2026070486/2/5,,,,,,,,False,False,,
2026-07-05,別府,7,078620260705,trifecta,3連単,1,3-4-2,0.1094297418315148,168.0,1738,True,500,84000.0,83500.0,500,8690.0,,,1,0,https://www.winticket.jp/keirin/beppu/racecard/2026070486/2/7,,,,,,,,False,False,,
2026-07-05,和歌山,5,055520260705,exacta,2車単,2,7-2,0.0894798039188344,119.7,971,True,400,47880.0,47480.0,400,3884.0,,,1,0,https://www.winticket.jp/keirin/wakayama/racecard/2026070555/1/5,,,,,,,,False,False,,
2026-07-05,豊橋,7,074520260705,exacta,2車単,4,1-5,0.1118321725296905,174.7,1854,True,500,87350.0,86850.0,500,9270.0,,,1,0,https://www.winticket.jp/keirin/toyohashi/racecard/2026070545/1/7,,,,,,,,False,False,,
2026-07-05,豊橋,7,074520260705,trifecta,3連単,6,1-3-5,0.0800138628030361,168.4,1247,True,500,84200.0,83700.0,500,6235.0,,,1,0,https://www.winticket.jp/keirin/toyohashi/racecard/2026070545/1/7,,,,,,,,False,False,,
2026-07-05,豊橋,7,074520260705,trifecta,3連単,4,1-5-3,0.1022476426710513,116.1,1087,True,400,46440.0,46040.0,400,4348.0,,,1,0,https://www.winticket.jp/keirin/toyohashi/racecard/2026070545/1/7,,,,,,,,False,False,,
2026-07-05,青森,3,031220260705,quinella_place,ワイド,2,1-3,0.2439672142895522,17.7,332,True,200,3540.0,3340.0,200,664.0,,,1,0,https://www.winticket.jp/keirin/aomori/racecard/2026070312/3/3,,,,,,,,False,False,,
