date,venue,race_no,race_id,bet_type,bet_label,candidate_rank,buy,prob,odds_used,expected_profit_100yen,is_selected,stake_yen,return_if_hit_yen,profit_if_hit_yen,loss_amount_yen,expected_profit_yen,purchase_authorized,authorization_reason
2026-07-18,いわき平,3,031320260718,trio,3連複,1,1-2-3,0.28168723631595016,75.2,2018,True,500,37600.0,37100.0,500,10090.0,False,external holdout ROI target was not met
2026-07-18,いわき平,3,031320260718,trio,3連複,2,1-2-7,0.1675502085312137,112.8,1790,True,500,56400.0,55900.0,500,8950.0,False,external holdout ROI target was not met
2026-07-18,いわき平,5,051320260718,trifecta,3連単,2,1-3-2,0.11731168688800596,76.9,802,True,300,23070.0,22770.0,300,2406.0,False,external holdout ROI target was not met
2026-07-18,いわき平,9,091320260718,exacta,2車単,4,1-5,0.06672894827507513,147.7,886,True,300,44310.0,44010.0,300,2658.0,False,external holdout ROI target was not met
2026-07-18,奈良,2,025320260718,trifecta,3連単,3,1-3-2,0.0734650616924492,148.5,991,True,400,59400.0,59000.0,400,3964.0,False,external holdout ROI target was not met
2026-07-18,奈良,4,045320260718,trifecta,3連単,1,2-1-4,0.08520555260919756,254.0,2064,True,500,127000.0,126500.0,500,10320.0,False,external holdout ROI target was not met
2026-07-18,奈良,4,045320260718,trifecta,3連単,3,1-2-4,0.07113337358801146,190.5,1255,True,500,95250.0,94750.0,500,6275.0,False,external holdout ROI target was not met
2026-07-18,奈良,9,095320260718,exacta,2車単,1,1-4,0.2243164742214483,61.1,1271,True,500,30550.0,30050.0,500,6355.0,False,external holdout ROI target was not met
2026-07-18,奈良,9,095320260718,quinella_place,ワイド,1,1-4,0.6087198667220358,9.3,466,True,200,1860.0,1660.0,200,932.0,False,external holdout ROI target was not met
2026-07-18,奈良,9,095320260718,quinella_place,ワイド,2,1-3,0.394992005770457,11.5,354,True,200,2300.0,2100.0,200,708.0,False,external holdout ROI target was not met
2026-07-18,松阪,11,114720260718,trifecta,3連単,2,5-2-4,0.1238281686141368,77.0,853,True,300,23100.0,22800.0,300,2559.0,False,external holdout ROI target was not met
2026-07-18,西武園,1,012620260718,trifecta,3連単,2,5-4-3,0.08933406690520221,122.6,995,True,400,49040.0,48640.0,400,3980.0,False,external holdout ROI target was not met
2026-07-18,西武園,2,022620260718,trifecta,3連単,4,7-1-3,0.0726804555650362,152.0,1005,True,400,60800.0,60400.0,400,4020.0,False,external holdout ROI target was not met
2026-07-18,西武園,3,032620260718,exacta,2車単,6,2-3,0.08081079496419286,195.0,1476,True,500,97500.0,97000.0,500,7380.0,False,external holdout ROI target was not met
2026-07-18,西武園,6,062620260718,exacta,2車単,1,3-4,0.13120214029916547,165.7,2074,True,500,82850.0,82350.0,500,10370.0,False,external holdout ROI target was not met
2026-07-18,西武園,6,062620260718,quinella_place,ワイド,1,3-4,0.4804704879239664,9.0,332,True,200,1800.0,1600.0,200,664.0,False,external holdout ROI target was not met
