date,venue,race_no,race_id,start_at,close_at,bet_type,bet_label,candidate_rank,buy,prob,odds_used,expected_profit_100yen,is_selected,stake_yen,return_if_hit_yen,profit_if_hit_yen,loss_amount_yen,expected_profit_yen,purchase_authorized,authorization_reason,model_sha256,prediction_created_at_jst,odds_snapshot
2026-07-31,京王閣,1,012720260731,1785498540,1785498240,trifecta,3連単,3,1-2-3,0.10585722136506732,189.0,1901,True,500,94500.0,94000.0,500,9505.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-07-31T07:47:57+09:00,daily morning snapshot
2026-07-31,京王閣,1,012720260731,1785498540,1785498240,trifecta,3連単,5,1-3-2,0.07483823515927243,189.0,1314,True,500,94500.0,94000.0,500,6570.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-07-31T07:47:57+09:00,daily morning snapshot
2026-07-31,佐世保,3,038520260731,1785465240,1785464940,exacta,2車単,2,5-2,0.2135977587331681,42.7,812,True,300,12810.0,12510.0,300,2436.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-07-31T07:47:57+09:00,daily morning snapshot
2026-07-31,佐世保,8,088520260731,1785473580,1785473280,quinella_place,ワイド,1,2-3,0.6478190203898263,6.2,302,True,200,1240.0,1040.0,200,604.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-07-31T07:47:57+09:00,daily morning snapshot
2026-07-31,佐世保,11,118520260731,1785479100,1785478800,quinella_place,ワイド,6,3-6,0.1314834015827137,33.0,334,True,200,6600.0,6400.0,200,668.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-07-31T07:47:57+09:00,daily morning snapshot
2026-07-31,岐阜,4,044320260731,1785467940,1785467640,trifecta,3連単,1,5-1-2,0.32577432334220263,34.6,1027,True,400,13840.0,13440.0,400,4108.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-07-31T07:47:57+09:00,daily morning snapshot
2026-07-31,岐阜,10,104320260731,1785478380,1785478080,trifecta,3連単,1,2-7-4,0.07796929771566315,218.2,1601,True,500,109100.0,108600.0,500,8005.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-07-31T07:47:57+09:00,daily morning snapshot
2026-07-31,武雄,7,078420260731,1785508200,1785507900,exacta,2車単,3,1-4,0.2065989569436689,67.5,1295,True,500,33750.0,33250.0,500,6475.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-07-31T07:47:57+09:00,daily morning snapshot
2026-07-31,青森,5,051220260731,1785459000,1785458700,exacta,2車単,2,4-7,0.14095891308178848,105.1,1381,True,500,52550.0,52050.0,500,6905.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-07-31T07:47:57+09:00,daily morning snapshot
2026-07-31,青森,5,051220260731,1785459000,1785458700,quinella_place,ワイド,2,2-7,0.4226119111172478,12.3,420,True,200,2460.0,2260.0,200,840.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-07-31T07:47:57+09:00,daily morning snapshot
