date,bets_recorded,bets_total,bets_decided,bets_pending,bets_excluded_after_close,bets_excluded_unknown_time,hits,hit_rate,stake_yen,return_yen,profit_yen,return_rate,roi
2026-07-10,11,9,9,0,2,0,0,0.0,3700,0,-3700,0.0,-1.0
2026-07-11,2,2,2,0,0,0,0,0.0,600,0,-600,0.0,-1.0
2026-07-12,8,8,8,0,0,0,0,0.0,2800,0,-2800,0.0,-1.0
2026-07-13,5,5,5,0,0,0,1,0.2,1700,620,-1080,0.36470588235294116,-0.6352941176470588
2026-07-14,7,7,7,0,0,0,0,0.0,2100,0,-2100,0.0,-1.0
2026-07-15,8,8,8,0,0,0,0,0.0,3500,0,-3500,0.0,-1.0
2026-07-16,7,7,7,0,0,0,2,0.2857142857142857,2700,6500,3800,2.4074074074074074,1.4074074074074074
2026-07-17,7,7,7,0,0,0,1,0.14285714285714285,2700,2750,50,1.0185185185185186,0.018518518518518517
2026-07-18,16,16,16,0,0,0,0,0.0,6200,0,-6200,0.0,-1.0
2026-07-19,8,8,8,0,0,0,0,0.0,2900,0,-2900,0.0,-1.0
2026-07-20,6,6,6,0,0,0,1,0.16666666666666666,1700,360,-1340,0.21176470588235294,-0.788235294117647
2026-07-21,5,5,5,0,0,0,0,0.0,1900,0,-1900,0.0,-1.0
2026-07-22,5,5,5,0,0,0,0,0.0,2400,0,-2400,0.0,-1.0
2026-07-23,10,10,10,0,0,0,1,0.1,4200,3210,-990,0.7642857142857142,-0.2357142857142857
2026-07-24,7,7,7,0,0,0,0,0.0,1900,0,-1900,0.0,-1.0
2026-07-25,7,7,7,0,0,0,1,0.14285714285714285,2800,5100,2300,1.8214285714285714,0.8214285714285714
2026-07-26,7,7,7,0,0,0,0,0.0,2800,0,-2800,0.0,-1.0
2026-07-27,2,2,2,0,0,0,0,0.0,700,0,-700,0.0,-1.0
2026-07-28,12,12,12,0,0,0,2,0.16666666666666666,4100,940,-3160,0.22926829268292684,-0.7707317073170732
2026-07-29,4,4,4,0,0,0,0,0.0,1400,0,-1400,0.0,-1.0
2026-07-30,7,7,7,0,0,0,0,0.0,2600,0,-2600,0.0,-1.0
2026-07-31,10,10,10,0,0,0,0,0.0,3800,0,-3800,0.0,-1.0
2026-08-01,11,11,11,0,0,0,1,0.09090909090909091,3700,760,-2940,0.20540540540540542,-0.7945945945945946
2026-08-02,8,8,8,0,0,0,0,0.0,2800,0,-2800,0.0,-1.0
2026-08-03,12,12,12,0,0,0,1,0.08333333333333333,4200,4750,550,1.130952380952381,0.13095238095238096
2026-08-04,10,10,10,0,0,0,0,0.0,4300,0,-4300,0.0,-1.0
2026-08-05,12,12,12,0,0,0,1,0.08333333333333333,4200,920,-3280,0.21904761904761905,-0.780952380952381
2026-08-06,3,3,3,0,0,0,1,0.3333333333333333,300,690,390,2.3,1.3
2026-08-08,4,4,4,0,0,0,0,0.0,400,0,-400,0.0,-1.0
2026-08-12,1,1,1,0,0,0,0,0.0,100,0,-100,0.0,-1.0
2026-08-15,3,3,3,0,0,0,0,0.0,300,0,-300,0.0,-1.0
2026-08-17,2,2,2,0,0,0,1,0.5,200,300,100,1.5,0.5
2026-08-18,1,1,1,0,0,0,0,0.0,100,0,-100,0.0,-1.0
2026-08-19,1,1,1,0,0,0,0,0.0,100,0,-100,0.0,-1.0
2026-08-20,2,2,2,0,0,0,0,0.0,200,0,-200,0.0,-1.0
2026-08-21,3,3,3,0,0,0,0,0.0,300,0,-300,0.0,-1.0
2026-08-22,1,1,1,0,0,0,0,0.0,100,0,-100,0.0,-1.0
2026-08-23,1,1,1,0,0,0,0,0.0,100,0,-100,0.0,-1.0
2026-08-24,3,3,3,0,0,0,0,0.0,300,0,-300,0.0,-1.0
2026-08-25,2,2,2,0,0,0,0,0.0,200,0,-200,0.0,-1.0
2026-08-26,1,1,1,0,0,0,0,0.0,100,0,-100,0.0,-1.0
2026-08-27,1,1,1,0,0,0,0,0.0,100,0,-100,0.0,-1.0
2026-08-31,1,1,1,0,0,0,0,0.0,100,0,-100,0.0,-1.0
2026-09-02,1,1,1,0,0,0,0,0.0,100,0,-100,0.0,-1.0
2026-09-03,2,2,2,0,0,0,0,0.0,200,0,-200,0.0,-1.0
