race_id,actual_trifecta,actual_trifecta_odds,race_status,decided_at,source_url,actual_trio,actual_exacta,actual_quinella,actual_bracket_exacta,actual_bracket_quinella,actual_quinella_place,payouts_trifecta_json,payouts_trio_json,payouts_exacta_json,payouts_quinella_json,payouts_quinella_place_json,payouts_bracket_exacta_json,payouts_bracket_quinella_json,start_at,close_at
011320260801,1-4-7,12.6,3,1785567716,https://www.winticket.jp/keirin/iwakidaira/racecard/2026073113/2/1,1-4-7,1-4,1-4,1-4,1-4,1-4|1-7|4-7,"{""1-4-7"": 1260}","{""1-4-7"": 300}","{""1-4"": 880}","{""1-4"": 650}","{""1-4"": 170, ""1-7"": 130, ""4-7"": 270}",{},{},1785567000.0,1785566700.0
012620260718,4-3-7,4.2,3,1784356646,https://www.winticket.jp/keirin/seibuen/racecard/2026071626/3/1,3-4-7,4-3,3-4,4-3,3-4,3-4|3-7|4-7,"{""4-3-7"": 420}","{""3-4-7"": 170}","{""4-3"": 250}","{""3-4"": 130}","{""3-4"": 100, ""3-7"": 110, ""4-7"": 150}",{},{},1784356020.0,1784355720.0
012720260714,1-3-6,41.8,3,1784030399,https://www.winticket.jp/keirin/keiokaku/racecard/2026071327/2/1,1-3-6,1-3,1-3,1-3,1-3,1-3|1-6|3-6,"{""1-3-6"": 4180}","{""1-3-6"": 1390}","{""1-3"": 410}","{""1-3"": 260}","{""1-3"": 170, ""1-6"": 620, ""3-6"": 640}",{},{},1784029800.0,1784029500.0
012720260719,3-1-2,8.6,3,1784462463,https://www.winticket.jp/keirin/keiokaku/racecard/2026071927/1/1,1-2-3,3-1,1-3,3-1,1-3,1-2|1-3|2-3,"{""3-1-2"": 860}","{""1-2-3"": 220}","{""3-1"": 420}","{""1-3"": 150}","{""1-2"": 190, ""1-3"": 110, ""2-3"": 210}",{},{},1784461800.0,1784461500.0
012720260720,1-4-6,174.7,3,1784548825,https://www.winticket.jp/keirin/keiokaku/racecard/2026071927/2/1,1-4-6,1-4,1-4,1-4,1-4,1-4|1-6|4-6,"{""1-4-6"": 17470}","{""1-4-6"": 4130}","{""1-4"": 1750}","{""1-4"": 1170}","{""1-4"": 390, ""1-6"": 420, ""4-6"": 1180}",{},{},1784548200.0,1784547900.0
012720260731,3-2-1,12.0,3,1785499160,https://www.winticket.jp/keirin/keiokaku/racecard/2026073127/1/1,1-2-3,3-2,2-3,3-2,2-3,1-2|1-3|2-3,"{""3-2-1"": 1200}","{""1-2-3"": 250}","{""3-2"": 360}","{""2-3"": 130}","{""1-2"": 130, ""1-3"": 200, ""2-3"": 130}",{},{},1785498540.0,1785498240.0
012820260728,4-5-3,114.9,3,1785203645,https://www.winticket.jp/keirin/tachikawa/racecard/2026072728/2/1,3-4-5,4-5,4-5,4-5,4-5,3-4|3-5|4-5,"{""4-5-3"": 11490}","{""3-4-5"": 2800}","{""4-5"": 2700}","{""4-5"": 2020}","{""3-4"": 440, ""3-5"": 580, ""4-5"": 320}",{},{},1785203100.0,1785202800.0
013520260729,1-3-5,26.7,3,1785309014,https://www.winticket.jp/keirin/hiratsuka/racecard/2026072835/2/1,1-3-5,1-3,1-3,1-3,1-3,1-3|1-5|3-5,"{""1-3-5"": 2670}","{""1-3-5"": 870}","{""1-3"": 370}","{""1-3"": 160}","{""1-3"": 100, ""1-5"": 690, ""3-5"": 380}",{},{},1785308340.0,1785308040.0
014520260728,6-1-2,36.4,3,1785204517,https://www.winticket.jp/keirin/toyohashi/racecard/2026072545/4/1,1-2-6,6-1,1-6,6-1,1-6,1-2|1-6|2-6,"{""6-1-2"": 3640}","{""1-2-6"": 380}","{""6-1"": 740}","{""1-6"": 260}","{""1-2"": 150, ""1-6"": 170, ""2-6"": 200}",{},{},1785203880.0,1785203580.0
014520260805,5-3-7,11.0,3,1785895874,https://www.winticket.jp/keirin/toyohashi/racecard/2026080545/1/1,3-5-7,5-3,3-5,5-3,3-5,3-5|3-7|5-7,"{""5-3-7"": 1100}","{""3-5-7"": 540}","{""5-3"": 320}","{""3-5"": 220}","{""3-5"": 130, ""3-7"": 330, ""5-7"": 230}",{},{},1785895080.0,1785894780.0
021320260717,1-2-3,2.8,3,1784290374,https://www.winticket.jp/keirin/iwakidaira/racecard/2026071613/2/2,1-2-3,1-2,1-2,1-2,1-2,1-2|1-3|2-3,"{""1-2-3"": 280}","{""1-2-3"": 130}","{""1-2"": 160}","{""1-2"": 140}","{""1-2"": 100, ""1-3"": 120, ""2-3"": 150}",{},{},1784289600.0,1784289300.0
021320260722,2-1-7,30.5,3,1784723462,https://www.winticket.jp/keirin/iwakidaira/racecard/2026072213/1/2,1-2-7,2-1,1-2,2-1,1-2,1-2|1-7|2-7,"{""2-1-7"": 3050}","{""1-2-7"": 1560}","{""2-1"": 380}","{""1-2"": 120}","{""1-2"": 100, ""1-7"": 1010, ""2-7"": 850}",{},{},1784722380.0,1784722080.0
