date,venue,race_no,race_id,bet_type,bet_label,candidate_rank,buy,prob,odds_used,expected_profit_100yen,is_selected,stake_yen,return_if_hit_yen,profit_if_hit_yen,loss_amount_yen,expected_profit_yen,purchase_authorized,authorization_reason,prediction_file,prediction_created_at_jst,actual_trifecta,actual_trifecta_odds,race_status,decided_at,result_source_url,actual_trio,actual_exacta,actual_quinella,actual_bracket_exacta,actual_bracket_quinella,actual_quinella_place,payouts_trifecta_json,payouts_trio_json,payouts_exacta_json,payouts_quinella_json,payouts_quinella_place_json,payouts_bracket_exacta_json,payouts_bracket_quinella_json,start_at,close_at,actual_for_bet_type,is_decided,is_hit,seconds_before_close,is_prospective,evaluation_status,actual_return_yen,actual_profit_yen
2026-07-10,いわき平,8,081320260710,exacta,2車単,1,1-3,0.3515000830445613,35.1,1134,True,400,14040.0,13640.0,400,4536.0,False,external holdout ROI target was not met,shadow_bets_20260710.csv,2026-07-10T21:47:31+09:00,3-2-1,19.0,3,1783693385,https://www.winticket.jp/keirin/iwakidaira/racecard/2026071013/1/8,1-2-3,3-2,2-3,3-2,2-3,1-2|1-3|2-3,"{""3-2-1"": 1900}","{""1-2-3"": 170}","{""3-2"": 1490}","{""2-3"": 890}","{""1-2"": 100, ""1-3"": 160, ""2-3"": 150}",{},{},1783692600.0,1783692300.0,3-2,True,False,4649.0,True,締切前予想,0.0,-400.0
2026-07-10,いわき平,8,081320260710,exacta,2車単,3,1-5,0.1623139157573946,58.5,850,True,300,17550.0,17250.0,300,2550.0,False,external holdout ROI target was not met,shadow_bets_20260710.csv,2026-07-10T21:47:31+09:00,3-2-1,19.0,3,1783693385,https://www.winticket.jp/keirin/iwakidaira/racecard/2026071013/1/8,1-2-3,3-2,2-3,3-2,2-3,1-2|1-3|2-3,"{""3-2-1"": 1900}","{""1-2-3"": 170}","{""3-2"": 1490}","{""2-3"": 890}","{""1-2"": 100, ""1-3"": 160, ""2-3"": 150}",{},{},1783692600.0,1783692300.0,3-2,True,False,4649.0,True,締切前予想,0.0,-300.0
2026-07-10,いわき平,8,081320260710,quinella,2車複,1,1-3,0.3910448692831518,147.7,5676,True,500,73850.0,73350.0,500,28380.0,False,external holdout ROI target was not met,shadow_bets_20260710.csv,2026-07-10T21:47:31+09:00,3-2-1,19.0,3,1783693385,https://www.winticket.jp/keirin/iwakidaira/racecard/2026071013/1/8,1-2-3,3-2,2-3,3-2,2-3,1-2|1-3|2-3,"{""3-2-1"": 1900}","{""1-2-3"": 170}","{""3-2"": 1490}","{""2-3"": 890}","{""1-2"": 100, ""1-3"": 160, ""2-3"": 150}",{},{},1783692600.0,1783692300.0,2-3,True,False,4649.0,True,締切前予想,0.0,-500.0
2026-07-10,いわき平,8,081320260710,quinella,2車複,3,1-5,0.1801492659947078,221.6,3892,True,500,110800.0,110300.0,500,19460.0,False,external holdout ROI target was not met,shadow_bets_20260710.csv,2026-07-10T21:47:31+09:00,3-2-1,19.0,3,1783693385,https://www.winticket.jp/keirin/iwakidaira/racecard/2026071013/1/8,1-2-3,3-2,2-3,3-2,2-3,1-2|1-3|2-3,"{""3-2-1"": 1900}","{""1-2-3"": 170}","{""3-2"": 1490}","{""2-3"": 890}","{""1-2"": 100, ""1-3"": 160, ""2-3"": 150}",{},{},1783692600.0,1783692300.0,2-3,True,False,4649.0,True,締切前予想,0.0,-500.0
2026-07-10,いわき平,8,081320260710,trifecta,3連単,4,1-5-3,0.0781598197012492,132.4,935,True,400,52960.0,52560.0,400,3740.0,False,external holdout ROI target was not met,shadow_bets_20260710.csv,2026-07-10T21:47:31+09:00,3-2-1,19.0,3,1783693385,https://www.winticket.jp/keirin/iwakidaira/racecard/2026071013/1/8,1-2-3,3-2,2-3,3-2,2-3,1-2|1-3|2-3,"{""3-2-1"": 1900}","{""1-2-3"": 170}","{""3-2"": 1490}","{""2-3"": 890}","{""1-2"": 100, ""1-3"": 160, ""2-3"": 150}",{},{},1783692600.0,1783692300.0,3-2-1,True,False,4649.0,True,締切前予想,0.0,-400.0
2026-07-10,いわき平,9,091320260710,exacta,2車単,1,6-2,0.0600196646375702,180.0,980,True,400,72000.0,71600.0,400,3920.0,False,external holdout ROI target was not met,shadow_bets_20260710.csv,2026-07-10T21:47:31+09:00,2-1-6,40.0,3,1783694676,https://www.winticket.jp/keirin/iwakidaira/racecard/2026071013/1/9,1-2-6,2-1,1-2,2-1,1-2,1-2|1-6|2-6,"{""2-1-6"": 4000}","{""1-2-6"": 340}","{""2-1"": 1260}","{""1-2"": 320}","{""1-2"": 180, ""1-6"": 170, ""2-6"": 360}",{},{},1783693800.0,1783693500.0,2-1,True,False,5849.0,True,締切前予想,0.0,-400.0
2026-07-10,前橋,4,042220260710,quinella_place,ワイド,5,5-6,0.135392324105621,38.3,419,True,200,7660.0,7460.0,200,838.0,False,external holdout ROI target was not met,shadow_bets_20260710.csv,2026-07-10T21:47:31+09:00,5-2-4,166.0,3,1783654299,https://www.winticket.jp/keirin/maebashi/racecard/2026071022/1/4,2-4-5,5-2,2-5,5-2,2-5,2-4|2-5|4-5,"{""5-2-4"": 16600}","{""2-4-5"": 5100}","{""5-2"": 4260}","{""2-5"": 1840}","{""2-4"": 600, ""2-5"": 330, ""4-5"": 510}",{},{},1783653720.0,1783653420.0,2-4|2-5|4-5,True,False,-34231.0,False,締切後のため除外,0.0,-200.0
2026-07-10,前橋,4,042220260710,trio,3連複,1,1-5-6,0.1345211074161472,75.2,912,True,400,30080.0,29680.0,400,3648.0,False,external holdout ROI target was not met,shadow_bets_20260710.csv,2026-07-10T21:47:31+09:00,5-2-4,166.0,3,1783654299,https://www.winticket.jp/keirin/maebashi/racecard/2026071022/1/4,2-4-5,5-2,2-5,5-2,2-5,2-4|2-5|4-5,"{""5-2-4"": 16600}","{""2-4-5"": 5100}","{""5-2"": 4260}","{""2-5"": 1840}","{""2-4"": 600, ""2-5"": 330, ""4-5"": 510}",{},{},1783653720.0,1783653420.0,2-4-5,True,False,-34231.0,False,締切後のため除外,0.0,-400.0
2026-07-10,名古屋,8,084220260710,exacta,2車単,4,2-3,0.053977445212191,180.7,875,True,300,54210.0,53910.0,300,2625.0,False,external holdout ROI target was not met,shadow_bets_20260710.csv,2026-07-10T21:47:31+09:00,2-1-7,42.1,3,1783692626,https://www.winticket.jp/keirin/nagoya/racecard/2026071042/1/8,1-2-7,2-1,1-2,2-1,1-2,1-2|1-7|2-7,"{""2-1-7"": 4210}","{""1-2-7"": 1780}","{""2-1"": 300}","{""1-2"": 120}","{""1-2"": 100, ""1-7"": 1790, ""2-7"": 1700}",{},{},1783692000.0,1783691700.0,2-1,True,False,4049.0,True,締切前予想,0.0,-300.0
2026-07-10,名古屋,8,084220260710,exacta,2車単,3,2-6,0.061297343428663,180.7,1008,True,400,72280.0,71880.0,400,4032.0,False,external holdout ROI target was not met,shadow_bets_20260710.csv,2026-07-10T21:47:31+09:00,2-1-7,42.1,3,1783692626,https://www.winticket.jp/keirin/nagoya/racecard/2026071042/1/8,1-2-7,2-1,1-2,2-1,1-2,1-2|1-7|2-7,"{""2-1-7"": 4210}","{""1-2-7"": 1780}","{""2-1"": 300}","{""1-2"": 120}","{""1-2"": 100, ""1-7"": 1790, ""2-7"": 1700}",{},{},1783692000.0,1783691700.0,2-1,True,False,4049.0,True,締切前予想,0.0,-400.0
